timestamp = 2016-07-24 17:19:32.021593 ,xAxis = -0.72 ,yAxis = -0.7 ,zAxis = -0.04
timestamp = 2016-07-24 17:19:32.020080 ,xAxis = -0.532 ,yAxis = -0.752 ,zAxis = -0.16
timestamp = 2016-07-24 17:19:33.018630 ,xAxis = -0.548 ,yAxis = -0.74 ,zAxis = 0.012
timestamp = 2016-07-24 17:19:34.020397 ,xAxis = -0.924 ,yAxis = -0.9 ,zAxis = 0.064
timestamp = 2016-07-24 17:19:35.020363 ,xAxis = -0.612 ,yAxis = -0.72 ,zAxis = -0.104
timestamp = 2016-07-24 17:19:35.019436 ,xAxis = -0.732 ,yAxis = -0.828 ,zAxis = 0.0
timestamp = 2016-07-24 17:19:36.020426 ,xAxis = -0.74 ,yAxis = -0.712 ,zAxis = -0.004
timestamp = 2016-07-24 17:19:37.020390 ,xAxis = -0.788 ,yAxis = -0.58 ,zAxis = 0.092
timestamp = 2016-07-24 17:19:38.023064 ,xAxis = -0.68 ,yAxis = -0.736 ,zAxis = 0.016
timestamp = 2016-07-24 17:19:38.020124 ,xAxis = -0.768 ,yAxis = -0.876 ,zAxis = 0.044
timestamp = 2016-07-24 17:19:39.019633 ,xAxis = -0.612 ,yAxis = -0.716 ,zAxis = 0.132
timestamp = 2016-07-24 17:19:40.026454 ,xAxis = -0.7 ,yAxis = -0.812 ,zAxis = -0.06
timestamp = 2016-07-24 17:19:41.019721 ,xAxis = -0.568 ,yAxis = -0.72 ,zAxis = 0.044
timestamp = 2016-07-24 17:19:41.018399 ,xAxis = -0.76 ,yAxis = -0.812 ,zAxis = -0.168
timestamp = 2016-07-24 17:19:42.018731 ,xAxis = -0.54 ,yAxis = -0.74 ,zAxis = 0.08
timestamp = 2016-07-24 17:19:43.025631 ,xAxis = -0.696 ,yAxis = -0.768 ,zAxis = 0.012
timestamp = 2016-07-24 17:19:44.022450 ,xAxis = -0.66 ,yAxis = -0.58 ,zAxis = -0.124
timestamp = 2016-07-24 17:19:44.018926 ,xAxis = -0.792 ,yAxis = -0.732 ,zAxis = -0.176
timestamp = 2016-07-24 17:19:45.020039 ,xAxis = -0.568 ,yAxis = -0.732 ,zAxis = -0.212
timestamp = 2016-07-24 17:19:46.022564 ,xAxis = -0.716 ,yAxis = -0.768 ,zAxis = -0.004
timestamp = 2016-07-24 17:19:47.026139 ,xAxis = -0.444 ,yAxis = -0.604 ,zAxis = -0.012
timestamp = 2016-07-24 17:19:47.021777 ,xAxis = -0.804 ,yAxis = -0.712 ,zAxis = 0.072
timestamp = 2016-07-24 17:19:48.020887 ,xAxis = -0.9 ,yAxis = -0.668 ,zAxis = -0.068
timestamp = 2016-07-24 17:19:49.020934 ,xAxis = -0.552 ,yAxis = -0.752 ,zAxis = -0.016
timestamp = 2016-07-24 17:19:50.024066 ,xAxis = -0.676 ,yAxis = -0.728 ,zAxis = -0.076
timestamp = 2016-07-24 17:19:50.019056 ,xAxis = -0.636 ,yAxis = -0.796 ,zAxis = 0.032
timestamp = 2016-07-24 17:19:51.018430 ,xAxis = -0.78 ,yAxis = -0.808 ,zAxis = 0.124
timestamp = 2016-07-24 17:19:52.020886 ,xAxis = -0.72 ,yAxis = -0.752 ,zAxis = -0.092
timestamp = 2016-07-24 17:19:53.027035 ,xAxis = -0.732 ,yAxis = -0.74 ,zAxis = 0.088
timestamp = 2016-07-24 17:19:53.019699 ,xAxis = -0.592 ,yAxis = -0.664 ,zAxis = -0.052
timestamp = 2016-07-24 17:19:54.019357 ,xAxis = -0.588 ,yAxis = -0.78 ,zAxis = -0.064
timestamp = 2016-07-24 17:19:55.026352 ,xAxis = -0.772 ,yAxis = -0.768 ,zAxis = -0.044
timestamp = 2016-07-24 17:19:56.021705 ,xAxis = -0.596 ,yAxis = -0.724 ,zAxis = -0.092
timestamp = 2016-07-24 17:19:56.021125 ,xAxis = -0.648 ,yAxis = -0.708 ,zAxis = -0.132
timestamp = 2016-07-24 17:19:57.023892 ,xAxis = -0.712 ,yAxis = -0.684 ,zAxis = -0.072
timestamp = 2016-07-24 17:19:58.020506 ,xAxis = -0.54 ,yAxis = -0.568 ,zAxis = 0.116
timestamp = 2016-07-24 17:19:59.020659 ,xAxis = -0.752 ,yAxis = -0.72 ,zAxis = -0.22
timestamp = 2016-07-24 17:19:59.019961 ,xAxis = -0.74 ,yAxis = -0.784 ,zAxis = -0.06
timestamp = 2016-07-24 17:20:00.018226 ,xAxis = -0.78 ,yAxis = -0.824 ,zAxis = -0.18
timestamp = 2016-07-24 17:20:01.028428 ,xAxis = -0.664 ,yAxis = -0.732 ,zAxis = -0.028
timestamp = 2016-07-24 17:20:02.021371 ,xAxis = -0.576 ,yAxis = -0.72 ,zAxis = -0.06
timestamp = 2016-07-24 17:20:02.020478 ,xAxis = -0.644 ,yAxis = -0.788 ,zAxis = -0.156
timestamp = 2016-07-24 17:20:03.020650 ,xAxis = -0.82 ,yAxis = -0.792 ,zAxis = -0.072
timestamp = 2016-07-24 17:20:04.018085 ,xAxis = -0.5 ,yAxis = -0.612 ,zAxis = 0.012
timestamp = 2016-07-24 17:20:05.020183 ,xAxis = -0.552 ,yAxis = -0.852 ,zAxis = -0.252
timestamp = 2016-07-24 17:20:05.033266 ,xAxis = -0.752 ,yAxis = -0.712 ,zAxis = -0.036
